Branch,Division,Group,Description,Qty,Total_Amount
Conut - Tyre,MILK OPTIONS,MILK OPTIONS,MILK OPTIONS,21.0,0.00
Conut - Tyre,MILK OPTIONS,MILK OPTIONS,FULL FAT MILK,204.0,0.00
Conut - Tyre,MILK OPTIONS,MILK OPTIONS,SKIMMED MILK.,11.0,0.00
Conut - Tyre,MILK OPTIONS,MILK OPTIONS,LACTOSE FREE MILK.,19.0,0.00
Conut - Tyre,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,TOASTED MARSHMALLOWS,2.0,238
Conut - Tyre,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,NO MARSHMALLLOWS,2.0,0.00
Conut - Tyre,CONUT''S FAVORITE,CONUT''S FAVORITE,HOT CHOCOLATE,4.0,1
Conut - Tyre,CONUT''S FAVORITE,CONUT''S FAVORITE,MATCHA LATTE,3.0,1
Conut - Tyre,CONUT''S FAVORITE,CONUT''S FAVORITE,AFFOGATO,1.0,536
Conut,Hot-Coffee Based,Hot-Coffee Based,AMERICAN COFFEE,3.0,1
Conut,Hot-Coffee Based,Hot-Coffee Based,CAPPUCCINO,3.0,1
Conut,Hot-Coffee Based,Hot-Coffee Based,CAFFE LATTE,19.0,7
Conut,Hot-Coffee Based,Hot-Coffee Based,CAFE MOCHA,9.0,4
Conut,Hot-Coffee Based,Hot-Coffee Based,CARAMEL MACHIATO,5.0,2
Conut,Hot-Coffee Based,Hot-Coffee Based,CAFFE AMERICANO,16.0,4
Conut,Hot-Coffee Based,Hot-Coffee Based,SINGLE ESPRESSO,7.0,1
Conut,Hot-Coffee Based,Hot-Coffee Based,DOUBLE ESPRESSO,31.0,10
Conut,Hot-Coffee Based,Hot-Coffee Based,WHITE MOCHA,4.0,2
Conut,Hot-Coffee Based,Hot-Coffee Based,FLAT WHITE,3.0,1
Conut,Hot-Coffee Based,Free Dressing,[CARAMEL DRESSING],26.0,0.00
Conut,Hot-Coffee Based,Free Dressing,[CHOCOLATE DRESSING],29.0,0.00
Conut,Hot-Coffee Based,Free Dressing,[NO DRESSING],24.0,0.00
Conut,Hot-Coffee Based,Free Dressing,[STRAWBERRY DRESSING],10.0,0.00
Conut,Hot-Coffee Based,Free Dressing,[SALTED CARAMEL DRESSING],10.0,0.00
Conut,Hot-Coffee Based,Free Whipped Cream,WHIPPED CREAM...,42.0,0.00
Conut,Hot-Coffee Based,Free Whipped Cream,NO WHIPPED CREAM,61.0,0.00
Conut,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,PRESSED,215.0,0.00
Conut,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,REGULAR,45.0,0.00
Conut,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON TOP,257.0,0.00
Conut,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON THE SIDE,249.0,0.00
Conut,Bev Add-ons,Bev Add-ons,WHIPPED CREAM,4.0,476
Conut,Bev Add-ons,Bev Add-ons,CARAMEL  SAUCE,4.0,360
Conut,Bev Add-ons,Bev Add-ons,VANILLA SYRUP,3.0,270
Conut,Bev Add-ons,Bev Add-ons,EXTRA ESPRESSO SHOT,1.0,90
Conut,Frappes,Frappes,MOCHA FRAPPE,14.0,7
Conut,Frappes,Frappes,CARAMEL MOCHA FRAPPE,3.0,1
Conut,Frappes,Frappes,HAZELNUT MOCHA FRAPPE,2.0,1
Conut,Frappes,Frappes,CARAMEL FRAPPE,8.0,4
Conut,Frappes,Frappes,VANILLA FRAPPE,2.0,1
Conut,Frappes,Frappes,WHITE MOCHA FRAPPE,4.0,2
Conut,Frappes,Frappes,SALTED CARAMEL FRAPPE,2.0,1
Conut,Frappes,Frappes,ESPRESSO FRAPPE,2.0,895
Conut,Frappes,Frappes,TOFFEE NUT FRAPPE,1.0,536
Conut,Shakes,Shakes,VANILLA MILKSHAKE,14.0,7
Conut,Shakes,Shakes,OREO MILKSHAKE,19.0,13
Conut,Shakes,Shakes,STRAWBERRY MILKSHAKE,12.0,8
Conut,Shakes,Shakes,SALTED CARAMEL MILKSHAKE,8.0,6
Conut,Shakes,Shakes,PISTACHIO MILKSHAKE,4.0,3
Conut,Shakes,Shakes,GRANOLA BERRIES MILKSHAKE,2.0,1
Conut,Shakes,Shakes,DOUBLE CHOCOLATE MILKSHAKE,4.0,3
Conut,Shakes,Shakes,FRUIT LOOPS MILKSHAKE,1.0,774
Conut,Shakes,Shakes,TOFFEE NUT MILKSHAKE,3.0,2
Conut,Hot and Cold Drinks,Hot and Cold Drinks,ICED CHOCOLATE,3.0,1
Conut,Hot and Cold Drinks,Hot and Cold Drinks,WATER,907.0,72
Conut,Hot and Cold Drinks,Hot and Cold Drinks,VIA SPARKLING WATER,24.0,4
Conut,Hot and Cold Drinks,Hot and Cold Drinks,MANGO PASSION,22.0,9
Conut,Hot and Cold Drinks,Hot and Cold Drinks,MELON PASSION,7.0,2
Conut,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES,13.0,5
Conut,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES PASSION,2.0,834
Conut,Hot and Cold Drinks,TEA FLAVORS,EARL GREY,1.0,297
Conut,Hot and Cold Drinks,TEA FLAVORS,GREEN TEA,2.0,595
Conut,Hot and Cold Drinks,TEA FLAVORS,PEPPERMINT TEA,1.0,297
Conut,Hot and Cold Drinks,TEA FLAVORS,PEACH ICED TEA,7.0,2
Conut,Hot and Cold Drinks,TEA FLAVORS,RASPBERRY ICED TEA,3.0,1
Conut,Conuts,Conuts,NO CINNAMON,11.0,0.00
Conut,Extras and Sides,Extras and Sides,ADD ICE CREAM,324.0,154
Conut,Delivery Service,Delivery,DELIVERY CHARGE,216.0,51
Conut,Delivery Service,Delivery,SEND CUTLERY,3.0,0.00
Conut,Delivery Service,Delivery,TAKE AWAY,216.0,0.00
Conut,Free Conut Spreads,Free Conut Spreads,NUTELLA SPREAD CONUT.,972.0,0.00
Conut,Free Conut Spreads,Free Conut Spreads,LOTUS SPREAD CONUT.,50.0,0.00
Conut,Free Conut Spreads,Free Conut Spreads,WHITE CHOCOLATE SPREAD CONUT.,184.0,0.00
Conut,Free Conut Spreads,Free Conut Spreads,PISTACHIO SPREAD CONUT.,7.0,213
Conut,Free Conut Spreads,Free Conut Spreads,NO SPREAD.,31.0,0.00
Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NUTELLA SPREAD CHIMNEY.,1205.0,0.00
Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,LOTUS SPREAD CHIMNEY.,70.0,0.00
Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,WHITE CHOCOLATE SPREAD CHIMNEY.,184.0,0.00
Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,PISTACHIO SPREAD CHIMNEY.,19.0,1
Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NO SPREAD,68.0,0.00
Conut,Holder,Holders,ARGENTINA,1.0,0.00
Conut,Holder,Holders,ENGLAND HOLDER,1.0,0.00
Conut,ITEMS,ITEMS,CLASSIC CHIMNEY,260.0,154
Conut,ITEMS,ITEMS,MINI THE ONE,153.0,77
Conut,ITEMS,ITEMS,MINI THE ORIGINAL,100.0,47
Conut,ITEMS,ITEMS,CONUT THE ORIGINAL,374.0,323
Conut,ITEMS,ITEMS,CHIMNEY THE ORIGINAL,182.0,216
Conut,ITEMS,ITEMS,CONUT THE ONE,554.0,495
Conut,ITEMS,ITEMS,CHIMNEY THE ONE,870.0,1
Conut,ITEMS,ITEMS,MINI PISTACHIO,36.0,22
Conut,ITEMS,ITEMS,CONUT PISTACHIO,104.0,105
Conut,ITEMS,ITEMS,CHIMNEY PISTACHIO,116.0,165
Conut,ITEMS,ITEMS,MINI BOSTON CHEESECAKE,40.0,21
Conut,ITEMS,ITEMS,CONUT BOSTON CHEESECAKE,82.0,75
Conut,ITEMS,ITEMS,CHIMNEY BOSTON CHEESECAKE,75.0,98
Conut,ITEMS,ITEMS,MINI BERRY MIX,49.0,24
Conut,ITEMS,ITEMS,CONUT BERRY MIX,134.0,119
Conut,ITEMS,ITEMS,CHIMNEY BERRY MIX,67.0,83
Conut,ITEMS,ITEMS,ICE CREAM BOWL,142.0,84
Conut,ITEMS,ITEMS,CONUT BITES,61.0,39
Conut,ITEMS,ITEMS,CINNAMON SUGAR RINGS,5.0,2
Conut,ITEMS,ITEMS,CHOCOLATE CHIPS RINGS,2.0,953
Conut,ITEMS,ITEMS,CONUT TRIPLE CHOCOLATE,184.0,170
Conut,ITEMS,ITEMS,MINI TRIPLE CHOCOLATE,48.0,25
Conut,ITEMS,ITEMS,CHIMNEY TRIPLE CHOCOLATE,167.0,218
Conut,ITEMS,ITEMS,CHIMNEY COMBO.,14.0,55
Conut,ITEMS,ITEMS,CONUT COMBO,18.0,49
Conut,ITEMS,ITEMS,THE SHARING BOX.,41.0,68
Conut,ITEMS,ITEMS,THE ONE CONUT,18.0,0.00
Conut,ITEMS,ITEMS,THE ONE MINI,40.0,0.00
Conut,ITEMS,ITEMS,THE ONE CHIMNEY,14.0,0.00
Conut,ITEMS,ITEMS,PISTACHIO CONUT,18.0,0.00
Conut,ITEMS,ITEMS,PISTACHIO MINI,40.0,0.00
Conut,ITEMS,ITEMS,PISTACHIO CHIMNEY,14.0,0.00
Conut,ITEMS,ITEMS,TRIPLE CHOCOLATE CONUT,18.0,0.00
Conut,ITEMS,ITEMS,TRIPLE CHOCOLATE MINI,40.0,0.00
Conut,ITEMS,ITEMS,TRIPLE CHOCOLATE CHIMNEY,14.0,0.00
Conut,ITEMS,ITEMS,BOSTON CHEESECAKE CONUT,18.0,0.00
Conut,ITEMS,ITEMS,BOSTON CHEESECAKE MINI,40.0,0.00
Conut,ITEMS,ITEMS,BOSTON CHEESECAKE CHIMNEY,14.0,0.00
Conut,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NUTELLA SPREAD MINI,1.0,59
Conut,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NO SPREAD,.,35.0
Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NUTELLA SPREAD CONUT,22.0,1
Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,LOTUS SPREAD CONUT,7.0,630
Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,WHITE CHOCOLATE SPREAD CONUT,4.0,360
Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,PISTACHIO SPREAD CONUT,1.0,119
Conut,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NO SPREAD..,170.0,0.00
Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NUTELLA SPREAD CHIMNEY,23.0,4
Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,LOTUS SPREAD CHIMNEY,32.0,5
Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,WHITE CHOCOLATE SPREAD CHIMNEY,13.0,2
Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,PISTACHIO SPREAD CHIMNEY,3.0,715
Conut,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NO SPREAD,164.0,0.00
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED OREO (R),6.0,540
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED LOTUS (R),2.0,180
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BROWNIES (R),10.0,900
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRISPY CREPE (R),3.0,270
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,STRAWBERRIES (R),33.0,2
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BLUEBERRIES (P),15.0,1
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRIES (P),13.0,1
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SPRINKLES (R),6.0,540
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,WHIPPED  CREAM (P),3.0,357
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SALTED CARAMEL SAUCE (R),0.0,0.00
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,NUTELLA SAUCE (R),12.0,1
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PISTACHIO SAUCE (P),1.0,119
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,WHITE CHOCOLATE SAUCE,(R),5.0
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,LOTUS SAUCE (R),3.0,270
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,DARK CHOCOLATE CHIPS (P),2.0,238
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,FRUIT LOOPS (R),4.0,360
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GRANOLA BERRIES (P),1.0,119
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRY JAM (P),3.0,357
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CHERRY JAM (P),1.0,119
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GUMMY BEARS (R),7.0,630
Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,MARSHMALLOWS (R),6.0,540
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED OREO.,38.0,6
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED LOTUS.,23.0,4
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRISPY CREPE.,2.0,357
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BROWNIES.,28.0,5
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,STRAWBERRY.,128.0,22
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SPRINKLES.,6.0,1
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BLUEBERRIES.,25.0,5
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRIES.,21.0,5
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PEANUT BUTTER CUPS.,1.0,238
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED CARAMEL SAUCE.,2.0,357
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE SAUCE.,3.0,536
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,NUTELLA SAUCE.,67.0,11
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,LOTUS SAUCE.,16.0,2
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,WHIPPED  CREAM.,9.0,2
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CARAMEL SAUCE.,6.0,1
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PISTACHIO SAUCE.,6.0,1
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE CHIPS.,3.0,715
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,FRUIT LOOPS.,1.0,178
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GRANOLA BERRIES.,4.0,953
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRY JAM.,2.0,476
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GUMMY BEARS.,7.0,1
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,MARSHMALLOWS.,8.0,1
Conut,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED PRETZELS.,2.0,357
Conut,EXTRA DIP,EXTRA DIP,NUTELLA DIP (R),3.0,357
Conut,EXTRA DIP,EXTRA DIP,LOTUS DIP (R),1.0,119
Conut,EXTRA DIP,EXTRA DIP,CARAMEL DIP (R),2.0,238
Conut,EXTRA DIP,EXTRA DIP,PASSION FRUIT DIP (P),1.0,238
Conut,EXTRA DIP,EXTRA DIP,PISTACHIO DIP (P),3.0,715
Conut,EXTRA DIP,EXTRA DIP,CHERRY JAM DIP (P),1.0,238
Conut,free mini spread,FREE MINI SPREAD,NUTELLA SPREAD MINI.,284.0,0.00
Conut,free mini spread,FREE MINI SPREAD,LOTUS SPREAD MINI.,12.0,0.00
Conut,free mini spread,FREE MINI SPREAD,WHITE CHOCOLATE SPREAD MINI.,53.0,0.00
Conut,free mini spread,FREE MINI SPREAD,PISTACHIO SPREAD MINI.,1.0,30
Conut,free mini spread,FREE MINI SPREAD,NO SPREAD .,40.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,STRAWBERRY,(R),828.0
Conut,FREE CONUT TOP,FREE CONUT TOP,BLUEBERRIES,(P),72.0
Conut,FREE CONUT TOP,FREE CONUT TOP,CRUSHED OREO,(R),64.0
Conut,FREE CONUT TOP,FREE CONUT TOP,CRUSHED LOTUS,(R),124.0
Conut,FREE CONUT TOP,FREE CONUT TOP,SPRINKLES,(R),20.0
Conut,FREE CONUT TOP,FREE CONUT TOP,BROWNIES,(R),532.0
Conut,FREE CONUT TOP,FREE CONUT TOP,SALTED CARAMEL SAUCE . (R),8.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,WHIPPED CREAM . (P),15.0,456
Conut,FREE CONUT TOP,FREE CONUT TOP,LOTUS SAUCE,(R),27.0
Conut,FREE CONUT TOP,FREE CONUT TOP,WHITE CHOCOLATE SAUCE,(R),21.0
Conut,FREE CONUT TOP,FREE CONUT TOP,CARAMEL SAUCE,(R),367.0
Conut,FREE CONUT TOP,FREE CONUT TOP,NO TOPPINGS.,98.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,RASPBERRIES,(P),41.0
Conut,FREE CONUT TOP,FREE CONUT TOP,DARK CHOCOLATE CHIPS,(P),17.0
Conut,FREE CONUT TOP,FREE CONUT TOP,GRANOLA BERRIES,(P),14.0
Conut,FREE CONUT TOP,FREE CONUT TOP,PEANUT BUTTER CUP,(P),7.0
Conut,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO SAUCE . (P),42.0,1
Conut,FREE CONUT TOP,FREE CONUT TOP,RASPBERRY JAM,(P),3.0
Conut,FREE CONUT TOP,FREE CONUT TOP,CHERRY JAM,(P),5.0
Conut,FREE CONUT TOP,FREE CONUT TOP,GUMMY BEARS . (R),31.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,MARSHMALLOWS,(R),26.0
Conut,FREE CONUT TOP,FREE CONUT TOP,CRISPY CREPE . (R),11.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,SALTED PRETZELS,(R),2.0
Conut,FREE CONUT TOP,FREE CONUT TOP,NUTELLA SAUCE . (R),693.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,DARK CHOCOLATE SAUCE,(R),11.0
Conut,FREE CONUT TOP,FREE CONUT TOP,FRUIT LOOPS . (R),6.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,WHIPPED CREAM,95.0,0.00
Conut,FREE CONUT TOP,FREE CONUT TOP,SWITCH TO ICE CREAM,18.0,6
Conut,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO TOPPING,88.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SALTED CARAMEL SAUCE,(R),2.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,STRAWBERRY,(R),969.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BROWNIES . (R),360.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED OREO .(R),43.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED LOTUS .(R),113.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SPRINKLES .(R),1.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NUTELLA SAUCE,(R),505.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,LOTUS SAUCE,(R),28.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHITE CHOCOLATE SAUCE .(R),73.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CARAMEL SAUCE,(R),463.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NO TOPPINGS,100.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BLUEBERRIES,(P),34.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,RASPBERRIES,(P),23.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,DARK CHOCOLATE CHIPS,(P),4.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PEANUT BUTTER CUPS,(P),6.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHIPPED CREAM,5.0,297
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PISTACHIO SAUCE,(P),35.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,RASPBERRY JAM,(P),1.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CHERRY JAM,(P),0.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,GUMMY BEARS,(R),6.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,MARSHMALLOWS,(R),7.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRISPY CREPE,(R),4.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,DARK CHOCOLATE SAUCE,(R),4.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,FRUIT LOOPS,(R),4.0
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHIPPED CREAM,53.0,0.00
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SWITCH TO ICE CREAM,9.0,2
Conut,FREE CHIMNEY TOP,FREE CHIMNEY TOP,PISTACHIO TOPPING,103.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,NUTELLA SAUCE,(R),189.0
Conut,FREE MINI TOP,FREE MINI TOP,BLUEBERRIES .(P),6.0,182
Conut,FREE MINI TOP,FREE MINI TOP,RASPBERRIES .(P),2.0,60
Conut,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE CHIPS .(P),2.0,60
Conut,FREE MINI TOP,FREE MINI TOP,GRANOLA BERRIES .(P),1.0,30
Conut,FREE MINI TOP,FREE MINI TOP,PEANUT BUTTER CUP .(P),1.0,30
Conut,FREE MINI TOP,FREE MINI TOP,WHIPPED CREAM,(P),6.0
Conut,FREE MINI TOP,FREE MINI TOP,PISTACHIO SAUCE,(P),10.0
Conut,FREE MINI TOP,FREE MINI TOP,RASPBERRY JAM .(P),1.0,30
Conut,FREE MINI TOP,FREE MINI TOP,CHERRY JAM .(P),1.0,30
Conut,FREE MINI TOP,FREE MINI TOP,GUMMY BEARS,(R),3.0
Conut,FREE MINI TOP,FREE MINI TOP,MARSHMALLOWS .(R),6.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,CRISPY CREPE,(R),1.0
Conut,FREE MINI TOP,FREE MINI TOP,STRAWBERRY .(R),226.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,BROWNIES,(R),141.0
Conut,FREE MINI TOP,FREE MINI TOP,CRUSHED OREO,(R),13.0
Conut,FREE MINI TOP,FREE MINI TOP,CRUSHED LOTUS,(R),42.0
Conut,FREE MINI TOP,FREE MINI TOP,SPRINKLES,(R),3.0
Conut,FREE MINI TOP,FREE MINI TOP,LOTUS SAUCE .(R),5.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,WHITE CHOCOLATE SAUCE,(R),3.0
Conut,FREE MINI TOP,FREE MINI TOP,CARAMEL SAUCE,(R),98.0
Conut,FREE MINI TOP,FREE MINI TOP,SALTED CARAMEL SAUCE  .(R),1.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE SAUCE .(R),0.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,FRUIT LOOPS,(R),2.0
Conut,FREE MINI TOP,FREE MINI TOP,NO TOPPINGS,11.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,WHIPPED CREAM  .,36.0,0.00
Conut,FREE MINI TOP,FREE MINI TOP,switch to ice cream.,8.0,2
Conut,FREE MINI TOP,FREE MINI TOP,PISTACHIO TOPPING.,33.0,0.00
Conut,free dip,free dip,NUTELLA DIP.(R),42.0,0.00
Conut,free dip,free dip,LOTUS DIP.(R),6.0,0.00
Conut,free dip,free dip,WHITE CHOCOLATE DIP.(R),6.0,0.00
Conut,free dip,free dip,CARAMEL DIP.(R),1.0,0.00
Conut,free dip,free dip,SALTED CARAMEL DIP.(R),5.0,0.00
Conut,free dip,free dip,DARK CHOCOLATE DIP.(R),4.0,0.00
Conut,free dip,free dip,CHERRY JAM DIP.(P),1.0,119
Conut,free dip,free dip,PISTACHIO DIP.(P),3.0,357
Conut,coffee type,coffee type,DECAF,8.0,0.00
Conut,coffee type,coffee type,REGULAR.,126.0,0.00
Conut,DRINK TYPE,DRINK TYPE,HOT,54.0,0.00
Conut,DRINK TYPE,DRINK TYPE,ICED,40.0,0.00
Conut,MILK OPTIONS,MILK OPTIONS,MILK OPTIONS,1.0,0.00
Conut,MILK OPTIONS,MILK OPTIONS,FULL FAT MILK,147.0,0.00
Conut,MILK OPTIONS,MILK OPTIONS,SKIMMED MILK.,15.0,0.00
Conut,MILK OPTIONS,MILK OPTIONS,LACTOSE FREE MILK.,1.0,0.00
Conut,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,TOASTED MARSHMALLOWS,2.0,238
Conut,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,NO MARSHMALLLOWS,4.0,0.00
Conut,CONUT''S FAVORITE,CONUT''S FAVORITE,HOT CHOCOLATE,6.0,2
Conut,CONUT''S FAVORITE,CONUT''S FAVORITE,ICED SHAKEN ESPRESSO,3.0,1
Conut,CONUT''S FAVORITE,CONUT''S FAVORITE,MATCHA LATTE,1.0,595
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,AMERICAN COFFEE,46.0,16
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,CAPPUCCINO,114.0,47
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,CAFFE LATTE,156.0,65
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,CAFE MOCHA,47.0,23
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,CARAMEL MACHIATO,76.0,40
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,CAFFE AMERICANO,66.0,20
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,SINGLE ESPRESSO,131.0,31
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,DOUBLE ESPRESSO,127.0,41
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,ESPRESSO MACCHIATO,6.0,1
Conut Jnah,Hot-Coffee Based,Hot-Coffee Based,WHITE MOCHA,15.0,7
